cip4,major_title,total_conferred,national_median_debt,national_median_earn_1yr,national_median_earn_4yr,downside_risk_earn_4yr,debt_to_earnings_ratio,earnings_premium_pct,early_wage_growth_pct,reporting_programs_count
51.38,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",162729.0,23000.0,75093.0,86383.0,79283.0,0.266,39.1,15.0,1029
52.02,"Business Administration, Management and Operations",160888.0,23500.0,45717.0,64430.0,56880.0,0.365,3.8,40.9,1272
42.01,"Psychology, General",111035.0,23518.0,31680.0,49942.0,45391.0,0.471,-19.6,57.6,1066
26.01,"Biology, General",85918.0,23413.0,32422.0,57546.0,51242.0,0.407,-7.3,77.5,864
13.12,"Teacher Education and Professional Development, Specific Levels and Methods",51575.0,24250.0,41896.0,47730.0,44173.0,0.508,-23.1,13.9,703
43.01,Criminal Justice and Corrections,49877.0,24750.0,37713.0,54212.0,49005.0,0.457,-12.7,43.7,714
31.05,"Sports, Kinesiology, and Physical Education/Fitness",48221.0,24250.0,30513.0,53175.0,48407.0,0.456,-14.4,74.3,627
09.01,Communication and Media Studies,48131.0,23000.0,34746.0,54091.0,48264.0,0.425,-12.9,55.7,673
52.03,Accounting and Related Services,45364.0,23000.0,53737.0,72446.0,64726.0,0.317,16.7,34.8,837
52.08,Finance and Financial Management Services,43657.0,21732.0,53751.0,77504.0,70089.0,0.28,24.8,44.2,459
11.01,"Computer and Information Sciences, General",41269.0,22822.0,61449.0,84554.0,75271.0,0.27,36.2,37.6,473
52.14,Marketing,40439.0,22628.0,44796.0,66477.0,59781.0,0.34,7.1,48.4,533
11.07,Computer Science,40354.0,22055.0,70906.0,98409.0,86573.0,0.224,58.5,38.8,358
24.01,"Liberal Arts and Sciences, General Studies and Humanities",38195.0,23125.0,36783.0,52545.0,46764.0,0.44,-15.4,42.9,492
45.10,Political Science and Government,37387.0,21500.0,35813.0,61922.0,55572.0,0.347,-0.3,72.9,569
14.19,Mechanical Engineering,35224.0,22875.0,70705.0,91131.0,87997.0,0.251,46.8,28.9,321
45.06,Economics,32840.0,20750.0,51815.0,79462.0,69524.0,0.261,28.0,53.4,370
23.01,"English Language and Literature, General",26639.0,22000.0,29848.0,48926.0,43733.0,0.45,-21.2,63.9,577
52.01,"Business/Commerce, General",24556.0,23996.0,46958.0,65292.0,59620.0,0.368,5.2,39.0,283
45.11,Sociology,24429.0,22665.0,34105.0,52094.0,47592.0,0.435,-16.1,52.7,465
50.07,Fine and Studio Arts,23114.0,23655.0,24486.0,41153.0,36531.0,0.575,-33.7,68.1,449
54.01,History,21495.0,21500.0,31194.0,50592.0,46110.0,0.425,-18.5,62.2,460
44.07,Social Work,21396.0,23500.0,37334.0,51470.0,47597.0,0.457,-17.1,37.9,443
30.99,"Multi/Interdisciplinary Studies, Other",20412.0,22230.0,38647.0,54791.0,49520.0,0.406,-11.8,41.8,211
50.04,Design and Applied Arts,19538.0,26000.0,32665.0,51507.0,43886.0,0.505,-17.0,57.7,337
13.13,"Teacher Education and Professional Development, Specific Subject Areas",19304.0,25000.0,43093.0,50806.0,47529.0,0.492,-18.2,17.9,356
51.22,Public Health,19077.0,23375.0,37548.0,57398.0,50164.0,0.407,-7.6,52.9,218
51.00,"Health Services/Allied Health/Health Sciences, General",18932.0,24521.0,34995.0,59794.0,51909.0,0.41,-3.7,70.9,157
51.07,Health and Medical Administrative Services,18385.0,26217.0,44526.0,57633.0,51098.0,0.455,-7.2,29.4,304
27.01,Mathematics,17361.0,19936.0,48828.0,70257.0,62727.0,0.284,13.2,43.9,309
14.10,"Electrical, Electronics, and Communications Engineering",16276.0,23074.0,77636.0,98640.0,94673.0,0.234,58.9,27.1,261
09.09,"Public Relations, Advertising, and Applied Communication",16236.0,23250.0,39973.0,62087.0,55271.0,0.374,0.0,55.3,183
03.01,Natural Resources Conservation and Research,15958.0,21137.0,34090.0,55010.0,49717.0,0.384,-11.4,61.4,266
